"id","title","videoUrl"
"d2009f40-ac2e-11e9-8a69-bb4b29648562","HIIT Cardio and Abs Workout for People Who Get Bored Easily","https://www.youtube.com/embed/zgNRJsGzDh4?rel=0&&showinfo=0"
"d2960170-ac2e-11e9-8a69-bb4b29648562","No Equipment Upper Body and Cardio Kickboxing Workout","https://www.youtube.com/embed/F4f8Ny82h88?rel=0&&showinfo=0"
"d327ba20-ac2e-11e9-8a69-bb4b29648562","10 Minute Abs Workout: At Home Pilates Abs Workout for a Healthy Back","https://www.youtube.com/embed/0CQ7riVMNJc?rel=0&&showinfo=0"
"d3d49bf0-ac2e-11e9-8a69-bb4b29648562","Fun and Brutal HIIT & Total Body Strength Workout with Cardio Burnout (Bored Easily)","https://www.youtube.com/embed/juh98840e5I?rel=0&&showinfo=0"
"d50f17c0-ac2e-11e9-8a69-bb4b29648562","Jumpstart Cardio Workout - 5 Minute Energy Boosting Workout","https://www.youtube.com/embed/xA8mWJiGkfY?rel=0&&showinfo=0"
"d5acde60-ac2e-11e9-8a69-bb4b29648562","HIIT Cardio and Abs Workout - No Equipment HIIT and Abs (Low Impact Mods)","https://www.youtube.com/embed/EkWBqgXUXDY?rel=0&&showinfo=0"
"d6c35770-ac2e-11e9-8a69-bb4b29648562","Quick and Intense HIIT Workout - Bodyweight Only HIIT Cardio","https://www.youtube.com/embed/pg2CYj3rjYI?rel=0&&showinfo=0"
"d7625690-ac2e-11e9-8a69-bb4b29648562","Burnout Butt & Thigh Workout - Strength and HIIT Workout for Lower Body","https://www.youtube.com/embed/GQLMYNSpn_0?rel=0&&showinfo=0"
"d89b99e0-ac2e-11e9-8a69-bb4b29648562","Upper Body Strength & Cardio Interval Workout (with Low Impact Mods)","https://www.youtube.com/embed/0qZBi77JWGQ?rel=0&&showinfo=0"
"d9319850-ac2e-11e9-8a69-bb4b29648562","Total Body Strength Workout for People who get Bored Easily - Total Body Burnout","https://www.youtube.com/embed/siIicrZ4gng?rel=0&&showinfo=0"
"d9c0b8f0-ac2e-11e9-8a69-bb4b29648562","At Home Upper Body Workout - Quick Upper Body Strength Without Weights","https://www.youtube.com/embed/sYYjx_W7rUY?rel=0&&showinfo=0"
